,params,distance,image_result
15,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5529,./output/Posibility: 15 | Effort: 5529.png
4,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5538,./output/Posibility: 4 | Effort: 5538.png
101,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5550,./output/Posibility: 101 | Effort: 5550.png
47,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5559,./output/Posibility: 47 | Effort: 5559.png
52,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5597,./output/Posibility: 52 | Effort: 5597.png
6,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5604,./output/Posibility: 6 | Effort: 5604.png
55,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5610,./output/Posibility: 55 | Effort: 5610.png
63,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5625,./output/Posibility: 63 | Effort: 5625.png
12,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 1}",5630,./output/Posibility: 12 | Effort: 5630.png
102,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5653,./output/Posibility: 102 | Effort: 5653.png
39,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5656,./output/Posibility: 39 | Effort: 5656.png
94,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5674,./output/Posibility: 94 | Effort: 5674.png
127,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5716,./output/Posibility: 127 | Effort: 5716.png
125,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",5731,./output/Posibility: 125 | Effort: 5731.png
103,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",5807,./output/Posibility: 103 | Effort: 5807.png
54,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5852,./output/Posibility: 54 | Effort: 5852.png
110,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 1}",5954,./output/Posibility: 110 | Effort: 5954.png
79,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 1, 'pheromone_power': 2}",6131,./output/Posibility: 79 | Effort: 6131.png
77,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",6170,./output/Posibility: 77 | Effort: 6170.png
29,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 1, 'reward_power': 0, 'pheromone_power': 2}",6181,./output/Posibility: 29 | Effort: 6181.png
35,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 2}",7208,./output/Posibility: 35 | Effort: 7208.png
139,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 2}",7278,./output/Posibility: 139 | Effort: 7278.png
34,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",7434,./output/Posibility: 34 | Effort: 7434.png
26,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 128, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 1}",7438,./output/Posibility: 26 | Effort: 7438.png
